prev_caption,curr_caption,human_transition,input_text
a man is playing with a dog in the grass,a bird is standing in the grass near a lake,,"Caption 1: a man is playing with a dog in the grass
Caption 2: a bird is standing in the grass near a lake
What's the transition?"
a dog standing on a sidewalk next to a person,a pool with a blue water,,"Caption 1: a dog standing on a sidewalk next to a person
Caption 2: a pool with a blue water
What's the transition?"
a pool with a blue water,a pool with a small pool in it,,"Caption 1: a pool with a blue water
Caption 2: a pool with a small pool in it
What's the transition?"
a baby standing on one foot,a baby is playing with a toy in a living room,,"Caption 1: a baby standing on one foot
Caption 2: a baby is playing with a toy in a living room
What's the transition?"
a baby is playing with a toy in a living room,a baby in a dia dia,,"Caption 1: a baby is playing with a toy in a living room
Caption 2: a baby in a dia dia
What's the transition?"
a screen shot of a computer screen with a message,a man with a beard and a white shirt,,"Caption 1: a screen shot of a computer screen with a message
Caption 2: a man with a beard and a white shirt
What's the transition?"
a man with a tooth in his mouth,a man brushing his teeth,,"Caption 1: a man with a tooth in his mouth
Caption 2: a man brushing his teeth
What's the transition?"
a man with a beard and a white shirt,a newspaper page with a picture of a man in the middle,,"Caption 1: a man with a beard and a white shirt
Caption 2: a newspaper page with a picture of a man in the middle
What's the transition?"
a newspaper page with a picture of a man in the middle,"a sign that reads, ' the world is not enough '",,"Caption 1: a newspaper page with a picture of a man in the middle
Caption 2: a sign that reads, ' the world is not enough '
What's the transition?"
"a sign that reads, ' the world is not enough '","a sign that reads, ' i can ' t remember you came by plane",,"Caption 1: a sign that reads, ' the world is not enough '
Caption 2: a sign that reads, ' i can ' t remember you came by plane
What's the transition?"
"a sign that reads, ' i can ' t remember you came by plane",a large white building with a sign on it,,"Caption 1: a sign that reads, ' i can ' t remember you came by plane
Caption 2: a large white building with a sign on it
What's the transition?"
a large white building with a sign on it,a large white boat with a large white boat in the background,,"Caption 1: a large white building with a sign on it
Caption 2: a large white boat with a large white boat in the background
What's the transition?"
a large white boat with a large white boat in the background,"a sign that reads, ' i am, am, am, am, am, am, am, am, am, am, am",,"Caption 1: a large white boat with a large white boat in the background
Caption 2: a sign that reads, ' i am, am, am, am, am, am, am, am, am, am, am
What's the transition?"
a cat is walking down the street in a city,a dog running down the street,,"Caption 1: a cat is walking down the street in a city
Caption 2: a dog running down the street
What's the transition?"
the girl in the spider suit,a woman in a gray dress is talking to another woman,,"Caption 1: the girl in the spider suit
Caption 2: a woman in a gray dress is talking to another woman
What's the transition?"
a woman in a gray dress is talking to another woman,a woman in a gray dress,,"Caption 1: a woman in a gray dress is talking to another woman
Caption 2: a woman in a gray dress
What's the transition?"
a woman in a gray dress,a man in a suit and tie is talking to another man,,"Caption 1: a woman in a gray dress
Caption 2: a man in a suit and tie is talking to another man
What's the transition?"
a cricket player is caught by a umpire,a soccer player is kicking a ball,,"Caption 1: a cricket player is caught by a umpire
Caption 2: a soccer player is kicking a ball
What's the transition?"
a soccer player is running after the ball,a man in a blue uniform is playing cricket,,"Caption 1: a soccer player is running after the ball
Caption 2: a man in a blue uniform is playing cricket
What's the transition?"
a man in a blue uniform throwing a ball,a video of a cricket player holding a ball,,"Caption 1: a man in a blue uniform throwing a ball
Caption 2: a video of a cricket player holding a ball
What's the transition?"
a cat is hiding under a couch,a white wall with a black and white quote,,"Caption 1: a cat is hiding under a couch
Caption 2: a white wall with a black and white quote
What's the transition?"
a man in a red shirt talking to another man,a man in a white shirt is staring at the camera,,"Caption 1: a man in a red shirt talking to another man
Caption 2: a man in a white shirt is staring at the camera
What's the transition?"
a pan of dough on a red table,a pan of dough with flour and flour,,"Caption 1: a pan of dough on a red table
Caption 2: a pan of dough with flour and flour
What's the transition?"
a boy playing in a pool,a boy in a tub,,"Caption 1: a boy playing in a pool
Caption 2: a boy in a tub
What's the transition?"
a group of people in a room,a video screen showing a car being pulled by a police officer,,"Caption 1: a group of people in a room
Caption 2: a video screen showing a car being pulled by a police officer
What's the transition?"
a video screen showing a car being pulled by a police officer,a car is parked in a parking lot,,"Caption 1: a video screen showing a car being pulled by a police officer
Caption 2: a car is parked in a parking lot
What's the transition?"
a video of a group of men in a room,a blue car is shown in a video,,"Caption 1: a video of a group of men in a room
Caption 2: a blue car is shown in a video
What's the transition?"
a lion walking on a rock,a man is playing with a dog in the grass,,"Caption 1: a lion walking on a rock
Caption 2: a man is playing with a dog in the grass
What's the transition?"
a man and woman hugging in the grass,a man holding a lion in the grass,,"Caption 1: a man and woman hugging in the grass
Caption 2: a man holding a lion in the grass
What's the transition?"
a man is holding a dog in his arms,a man and woman are standing next to a lion,,"Caption 1: a man is holding a dog in his arms
Caption 2: a man and woman are standing next to a lion
What's the transition?"
a man and woman are standing next to a lion,a man is hugging a lion in the wild,,"Caption 1: a man and woman are standing next to a lion
Caption 2: a man is hugging a lion in the wild
What's the transition?"
a woman in a black shirt is holding a cell,a woman is showing her peace sign,,"Caption 1: a woman in a black shirt is holding a cell
Caption 2: a woman is showing her peace sign
What's the transition?"
a woman is showing her peace sign,a woman is putting her face with a sponge,,"Caption 1: a woman is showing her peace sign
Caption 2: a woman is putting her face with a sponge
What's the transition?"
a woman is putting her face with a sponge,a woman in a black shirt and a white shirt,,"Caption 1: a woman is putting her face with a sponge
Caption 2: a woman in a black shirt and a white shirt
What's the transition?"
a man is sitting on a piano while people watch,a man sitting on top of a piano,,"Caption 1: a man is sitting on a piano while people watch
Caption 2: a man sitting on top of a piano
What's the transition?"
a woman is sitting on a piano in front of a crowd,a group of people sitting on a stage,,"Caption 1: a woman is sitting on a piano in front of a crowd
Caption 2: a group of people sitting on a stage
What's the transition?"
a young boy sitting on a piano in front of a crowd,a young girl is sitting on a piano,,"Caption 1: a young boy sitting on a piano in front of a crowd
Caption 2: a young girl is sitting on a piano
What's the transition?"
a young girl is sitting on a piano,a woman sitting on top of a piano,,"Caption 1: a young girl is sitting on a piano
Caption 2: a woman sitting on top of a piano
What's the transition?"
a yellow sign with bullet holes on it,a yellow sign with a bunch of bugs on it,,"Caption 1: a yellow sign with bullet holes on it
Caption 2: a yellow sign with a bunch of bugs on it
What's the transition?"
a scene from the movie ' bha bha bha ',a woman in a traditional costume dancing,,"Caption 1: a scene from the movie ' bha bha bha '
Caption 2: a woman in a traditional costume dancing
What's the transition?"
a woman in a traditional costume dancing,a woman in a red dress and headdre,,"Caption 1: a woman in a traditional costume dancing
Caption 2: a woman in a red dress and headdre
What's the transition?"
a woman in a red dress and headdre,a woman in a pink dress singing into a microphone,,"Caption 1: a woman in a red dress and headdre
Caption 2: a woman in a pink dress singing into a microphone
What's the transition?"
a woman in a pink dress singing into a microphone,a woman in a colorful dress is dancing,,"Caption 1: a woman in a pink dress singing into a microphone
Caption 2: a woman in a colorful dress is dancing
What's the transition?"
a woman in a colorful dress is dancing,a woman in a pink sari sari sari sari sari sari sari sari sari sari sari sar,,"Caption 1: a woman in a colorful dress is dancing
Caption 2: a woman in a pink sari sari sari sari sari sari sari sari sari sari sari sar
What's the transition?"
a woman in a pink sari sari sari sari sari sari sari sari sari sari sari sar,a video game with a woman in a pink dress,,"Caption 1: a woman in a pink sari sari sari sari sari sari sari sari sari sari sari sar
Caption 2: a video game with a woman in a pink dress
What's the transition?"
a video game with a woman in a pink dress,a woman in a pink dress dancing with a man,,"Caption 1: a video game with a woman in a pink dress
Caption 2: a woman in a pink dress dancing with a man
What's the transition?"
a woman in a pink dress is dancing,a woman in a pink shirt and a pink shirt,,"Caption 1: a woman in a pink dress is dancing
Caption 2: a woman in a pink shirt and a pink shirt
What's the transition?"
a woman in a pink shirt and a pink shirt,a group of women in colorful dresses,,"Caption 1: a woman in a pink shirt and a pink shirt
Caption 2: a group of women in colorful dresses
What's the transition?"
a group of women in colorful dresses,a scene from the movie,,"Caption 1: a group of women in colorful dresses
Caption 2: a scene from the movie
What's the transition?"
a man in a white shirt and glasses is bending his head,a man in a white shirt and glasses is sitting on the ground,,"Caption 1: a man in a white shirt and glasses is bending his head
Caption 2: a man in a white shirt and glasses is sitting on the ground
What's the transition?"
a man in a white shirt and glasses is sitting on the ground,a man is putting gold into a bowl,,"Caption 1: a man in a white shirt and glasses is sitting on the ground
Caption 2: a man is putting gold into a bowl
What's the transition?"
a close up of a glass with a small piece of ice,a small brown frog sitting on top of a wooden stump,,"Caption 1: a close up of a glass with a small piece of ice
Caption 2: a small brown frog sitting on top of a wooden stump
What's the transition?"
a small brown frog sitting on top of a wooden stump,a large bird is flying through the air,,"Caption 1: a small brown frog sitting on top of a wooden stump
Caption 2: a large bird is flying through the air
What's the transition?"
a group of children are dancing on stage,a group of children standing on a stage,,"Caption 1: a group of children are dancing on stage
Caption 2: a group of children standing on a stage
What's the transition?"
a man in a suit is sitting on a table,a man in a suit is standing in a room,,"Caption 1: a man in a suit is sitting on a table
Caption 2: a man in a suit is standing in a room
What's the transition?"
a man in a suit is standing in a room,a man standing in a field with a gun,,"Caption 1: a man in a suit is standing in a room
Caption 2: a man standing in a field with a gun
What's the transition?"
a man sitting on a bench in the yard,a man in a plaid shirt is playing with a frc,,"Caption 1: a man sitting on a bench in the yard
Caption 2: a man in a plaid shirt is playing with a frc
What's the transition?"
a man in a plaid shirt is playing with a frc,a man is playing with a frc in the backyard,,"Caption 1: a man in a plaid shirt is playing with a frc
Caption 2: a man is playing with a frc in the backyard
What's the transition?"
a man is playing with a frc in the backyard,a man sitting on a bench in the rain,,"Caption 1: a man is playing with a frc in the backyard
Caption 2: a man sitting on a bench in the rain
What's the transition?"
a man sitting on a bench in the rain,a man sitting on a bench in the yard,,"Caption 1: a man sitting on a bench in the rain
Caption 2: a man sitting on a bench in the yard
What's the transition?"
a knife cutting a piece of bread,a close up of a piece of bread,,"Caption 1: a knife cutting a piece of bread
Caption 2: a close up of a piece of bread
What's the transition?"
a piece of white powder,a fish that is laying on a piece of paper,,"Caption 1: a piece of white powder
Caption 2: a fish that is laying on a piece of paper
What's the transition?"
a fish that is laying on a piece of paper,a fish on a cutting board with a knife,,"Caption 1: a fish that is laying on a piece of paper
Caption 2: a fish on a cutting board with a knife
What's the transition?"
a dog is standing on a sidewalk next to a man,a woman walking her dog down the street,,"Caption 1: a dog is standing on a sidewalk next to a man
Caption 2: a woman walking her dog down the street
What's the transition?"
a cat is walking on the sidewalk,a woman in a black bra top is walking down the street,,"Caption 1: a cat is walking on the sidewalk
Caption 2: a woman in a black bra top is walking down the street
What's the transition?"
a woman in a black bra top is walking down the street,a dog is walking on the sidewalk,,"Caption 1: a woman in a black bra top is walking down the street
Caption 2: a dog is walking on the sidewalk
What's the transition?"
a dog is walking on the sidewalk,a pig is standing in the street,,"Caption 1: a dog is walking on the sidewalk
Caption 2: a pig is standing in the street
What's the transition?"
a pig is standing in the street,a dog is standing on a porch,,"Caption 1: a pig is standing in the street
Caption 2: a dog is standing on a porch
What's the transition?"
a dog is standing on a porch,a dog is standing on a boat,,"Caption 1: a dog is standing on a porch
Caption 2: a dog is standing on a boat
What's the transition?"
a man with a rifle in the rocks,a man on a horse waving at the camera,,"Caption 1: a man with a rifle in the rocks
Caption 2: a man on a horse waving at the camera
What's the transition?"
a man on a horse waving at the camera,a man standing on top of a hill,,"Caption 1: a man on a horse waving at the camera
Caption 2: a man standing on top of a hill
What's the transition?"
a man is sitting on a pile of garbage,a man riding a horse in the desert,,"Caption 1: a man is sitting on a pile of garbage
Caption 2: a man riding a horse in the desert
What's the transition?"
a man riding a horse in the desert,a man riding a horse through a forest,,"Caption 1: a man riding a horse in the desert
Caption 2: a man riding a horse through a forest
What's the transition?"
a man riding a horse through a forest,a horse is standing on a hill in the woods,,"Caption 1: a man riding a horse through a forest
Caption 2: a horse is standing on a hill in the woods
What's the transition?"
a bowl of tomatoes and a bottle of olive,a bowl of tomatoes and a knife on a counter,,"Caption 1: a bowl of tomatoes and a bottle of olive
Caption 2: a bowl of tomatoes and a knife on a counter
What's the transition?"
a small animal is eating on the ground,a small animal is laying in the grass,,"Caption 1: a small animal is eating on the ground
Caption 2: a small animal is laying in the grass
What's the transition?"
a man is feeding a small animal in a cage,a cat is sitting on a blanket with a person holding it,,"Caption 1: a man is feeding a small animal in a cage
Caption 2: a cat is sitting on a blanket with a person holding it
What's the transition?"
a cat is playing with a box of food,a cat is sitting on a box of water,,"Caption 1: a cat is playing with a box of food
Caption 2: a cat is sitting on a box of water
What's the transition?"
a cat is sitting on a box of water,a box of a television,,"Caption 1: a cat is sitting on a box of water
Caption 2: a box of a television
What's the transition?"
a box of a television,a box of a magazine,,"Caption 1: a box of a television
Caption 2: a box of a magazine
What's the transition?"
a cat is sitting on the floor next to a box,a box of a magazine,,"Caption 1: a cat is sitting on the floor next to a box
Caption 2: a box of a magazine
What's the transition?"
a man eating a sandwich with a knife,a man in a green shirt is holding a green object,,"Caption 1: a man eating a sandwich with a knife
Caption 2: a man in a green shirt is holding a green object
What's the transition?"
a man playing a flute on a black background,a man holding a microphone in his hand,,"Caption 1: a man playing a flute on a black background
Caption 2: a man holding a microphone in his hand
What's the transition?"
a man is standing in the door of a plane,a man is standing in the corner of a refrigerator,,"Caption 1: a man is standing in the door of a plane
Caption 2: a man is standing in the corner of a refrigerator
What's the transition?"
a dog is walking on the road in the rain,a tv screen showing a video of a man in a suit,,"Caption 1: a dog is walking on the road in the rain
Caption 2: a tv screen showing a video of a man in a suit
What's the transition?"
a woman and a child playing with a toy,a baby standing on the floor,,"Caption 1: a woman and a child playing with a toy
Caption 2: a baby standing on the floor
What's the transition?"
a baby standing on the floor,a baby is playing with a ball in a living room,,"Caption 1: a baby standing on the floor
Caption 2: a baby is playing with a ball in a living room
What's the transition?"
a woman and child playing in a room,a woman in a white shirt,,"Caption 1: a woman and child playing in a room
Caption 2: a woman in a white shirt
What's the transition?"
a woman is playing with her baby,a man standing in front of a baby,,"Caption 1: a woman is playing with her baby
Caption 2: a man standing in front of a baby
What's the transition?"
a man standing in front of a baby,a baby in a diaper,,"Caption 1: a man standing in front of a baby
Caption 2: a baby in a diaper
What's the transition?"
a cat is in a cage with its mouth open,a cat is laying in a cage,,"Caption 1: a cat is in a cage with its mouth open
Caption 2: a cat is laying in a cage
What's the transition?"
a man in a black shirt and red pants is dancing on a stage,a man in a suit and tie is dancing on stage,,"Caption 1: a man in a black shirt and red pants is dancing on a stage
Caption 2: a man in a suit and tie is dancing on stage
What's the transition?"
a man in a tuxed tuxed tuxed tuxed tuxed tuxed tuxed tuxed tuxed tuxed tuxed tuxed,a woman standing on a stage with a microphone,,"Caption 1: a man in a tuxed tuxed tuxed tuxed tuxed tuxed tuxed tuxed tuxed tuxed tuxed tuxed
Caption 2: a woman standing on a stage with a microphone
What's the transition?"
a woman standing on a stage with a microphone,a man in a suit is playing a violin,,"Caption 1: a woman standing on a stage with a microphone
Caption 2: a man in a suit is playing a violin
What's the transition?"
a man in a suit is playing a violin,a man in a suit and tie is standing on a stage,,"Caption 1: a man in a suit is playing a violin
Caption 2: a man in a suit and tie is standing on a stage
What's the transition?"
a horse is jumping over a fence in a field,a horse is running through a fence,,"Caption 1: a horse is jumping over a fence in a field
Caption 2: a horse is running through a fence
What's the transition?"
a horse is jumping over an obstacle,a horse is standing in the dirt,,"Caption 1: a horse is jumping over an obstacle
Caption 2: a horse is standing in the dirt
What's the transition?"
a horse is in the middle of a field,a horse is in the dirt with people watching,,"Caption 1: a horse is in the middle of a field
Caption 2: a horse is in the dirt with people watching
What's the transition?"
a man is performing on a stage with a microphone,a man is dancing on a stage with a light,,"Caption 1: a man is performing on a stage with a microphone
Caption 2: a man is dancing on a stage with a light
What's the transition?"
a group of people dancing in a nightclub,a group of people standing around a bar,,"Caption 1: a group of people dancing in a nightclub
Caption 2: a group of people standing around a bar
What's the transition?"
a group of people standing around a bar,a group of people walking down a street at night,,"Caption 1: a group of people standing around a bar
Caption 2: a group of people walking down a street at night
What's the transition?"
a group of people walking down a street at night,a group of people standing on a street,,"Caption 1: a group of people walking down a street at night
Caption 2: a group of people standing on a street
What's the transition?"
a group of people walking down a street,a scene from the movie,,"Caption 1: a group of people walking down a street
Caption 2: a scene from the movie
What's the transition?"
a scene from the movie,a man standing in a room with a checker,,"Caption 1: a scene from the movie
Caption 2: a man standing in a room with a checker
What's the transition?"
a man standing in a room with a checker,a man standing in front of a bar,,"Caption 1: a man standing in a room with a checker
Caption 2: a man standing in front of a bar
What's the transition?"
a black background with a white and red flower,a woman is dancing in a room,,"Caption 1: a black background with a white and red flower
Caption 2: a woman is dancing in a room
What's the transition?"
a woman is dancing in a room,a cat is hanging on the wall in a room,,"Caption 1: a woman is dancing in a room
Caption 2: a cat is hanging on the wall in a room
What's the transition?"
a cat is hanging on the wall in a room,a cat is standing on the floor in front of a television,,"Caption 1: a cat is hanging on the wall in a room
Caption 2: a cat is standing on the floor in front of a television
What's the transition?"
a man walking down a street in a city,a boy is looking at a cell phone,,"Caption 1: a man walking down a street in a city
Caption 2: a boy is looking at a cell phone
What's the transition?"
a boy in a white shirt looking at a cell,a man is walking down a street with his hand on the ground,,"Caption 1: a boy in a white shirt looking at a cell
Caption 2: a man is walking down a street with his hand on the ground
What's the transition?"
a man is walking down a street with his hand on the ground,a boy is standing on a rock,,"Caption 1: a man is walking down a street with his hand on the ground
Caption 2: a boy is standing on a rock
What's the transition?"
a boy is standing on a rock,a car is seen in this image from the video,,"Caption 1: a boy is standing on a rock
Caption 2: a car is seen in this image from the video
What's the transition?"
a man sitting on a rock,a man sitting on a rock with a cigarette in his mouth,,"Caption 1: a man sitting on a rock
Caption 2: a man sitting on a rock with a cigarette in his mouth
What's the transition?"
